"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","V1","C","","00:00:34:55","00:00:34:56","00:00:00:01","01:00:28:01","01:00:28:02","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Настраиваем звуки","",""
"2","","","A1","C","","00:00:34:55","00:00:34:56","00:00:00:01","01:00:28:01","01:00:28:02","Основная часть М2.5","","","","","","60.000","","Blue","Marker 1","",""
"3","","","V1","C","","00:01:58:53","00:01:58:54","00:00:00:01","01:01:39:44","01:01:39:45","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Отключаем Play on Awake у Particles System","",""
"4","","","A1","C","","00:01:58:53","00:01:58:54","00:00:00:01","01:01:39:44","01:01:39:45","Основная часть М2.5","","","","","","60.000","","Blue","Marker 1","",""
"5","","","V1","C","","00:03:03:23","00:03:03:24","00:00:00:01","01:02:43:44","01:02:43:45","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Подготавливаемся к созданию скриптов","",""
"6","","","A1","C","","00:03:03:23","00:03:03:24","00:00:00:01","01:02:43:44","01:02:43:45","Основная часть М2.5","","","","","","60.000","","Blue","Marker 1","",""
"7","","","V1","C","","00:04:19:44","00:04:19:45","00:00:00:01","01:03:50:52","01:03:50:53","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Создаем скрипт уничтожения снежка","",""
"8","","","A1","C","","00:04:19:44","00:04:19:45","00:00:00:01","01:03:50:52","01:03:50:53","Основная часть М2.5","","","","","","60.000","","Blue","Marker 2","",""
"9","","","V1","C","","00:05:17:25","00:05:17:26","00:00:00:01","01:04:43:30","01:04:43:31","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Что делать, если скрипт не добавляется на Gameobject","",""
"10","","","A1","C","","00:05:17:25","00:05:17:26","00:00:00:01","01:04:43:30","01:04:43:31","Основная часть М2.5","","","","","","60.000","","Blue","Marker 3","",""
"11","","","V1","C","","00:18:02:40","00:18:02:41","00:00:00:01","01:17:28:45","01:17:28:46","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Фиксируем попадания по противнику","",""
"12","","","A1","C","","00:18:02:40","00:18:02:41","00:00:00:01","01:17:28:45","01:17:28:46","Основная часть М2.5","","","","","","60.000","","Blue","Marker 4","",""
"13","","","V1","C","","00:25:37:30","00:25:37:31","00:00:00:01","01:22:40:23","01:22:40:24","Основная часть М2.5","","","","","","60.000","1920x1080","Blue","Делаем спавн снежков","",""
"14","","","A1","C","","00:25:37:30","00:25:37:31","00:00:00:01","01:22:40:23","01:22:40:24","Основная часть М2.5","","","","","","60.000","","Blue","Marker 5","",""
"15","","","V1","C","","00:00:01:49","00:00:01:50","00:00:00:01","01:29:59:19","01:29:59:20","Заключение","","","","","","60.000","1920x1080","Blue","Заключение","",""
"16","","","A1","C","","00:00:01:49","00:00:01:50","00:00:00:01","01:29:59:19","01:29:59:20","Заключение","","","","","","60.000","","Blue","Marker 1","",""
